City,country,Date,Latitude,Longitude,Max_temp,Humidity,Cloudiness,Wind Speed
Mataura,NZ,1650139304,-46.1927,168.8643,276.75,96,68,1.22
Cidreira,BR,1650139304,-30.1811,-50.2056,292.73,68,100,3.42
Novy Urengoy,RU,1650139121,66.0833,76.6333,264.11,92,100,7.57
Dikson,RU,1650139305,73.5069,80.5464,261.8,94,100,7.26
Juan Lacaze,UY,1650139305,-34.4342,-57.4381,293.21,65,29,5.74
Rundu,NA,1650139306,-17.9333,19.7667,293.61,78,100,3.31
Sola,VU,1650139306,-13.8833,167.55,300.79,70,100,1.16
Bata,GQ,1650139307,1.8639,9.7658,298.71,89,100,2.14
Hobart,AU,1650139147,-42.8794,147.3294,284.64,89,100,0.45
Santiago de Cao,PE,1650139308,-7.9589,-79.2392,293.74,80,67,7.17
Kununurra,AU,1650139120,-15.7667,128.7333,297.14,94,19,2.06
Chapais,CA,1650139308,49.7834,-74.8492,275.03,70,100,5.26
Joshīmath,IN,1650139309,30.5667,79.5667,284.5,48,8,3.44
Praia da Vitória,PT,1650139309,38.7333,-27.0667,289.68,78,17,3.41
Avarua,CK,1650139310,-21.2078,-159.775,300.18,83,40,1.03
São João da Barra,BR,1650139060,-21.6403,-41.0511,298.2,66,89,7.66
Bredasdorp,ZA,1650139310,-34.5322,20.0403,288.51,72,0,6.54
Samaná,DO,1650139311,19.2056,-69.3369,299.5,74,92,6.12
Kaitangata,NZ,1650139311,-46.2817,169.8464,278.37,89,77,1.87
Albany,US,1650139167,42.6001,-73.9662,278.42,85,100,1.79
Bengkulu,ID,1650139312,-3.8004,102.2655,298.11,90,100,1.75
Tuktoyaktuk,CA,1650139312,69.4541,-133.0374,256.36,81,28,2.25
Buala,SB,1650139313,-8.145,159.5921,299.67,80,100,2.17
Saint Paul Harbor,US,1650139313,57.79,-152.4072,276.88,81,100,8.75
Hilo,US,1650139313,19.7297,-155.09,294.28,99,100,2.24
Port Alfred,ZA,1650139314,-33.5906,26.891,289.36,83,100,5.75
Los Algarrobos,PA,1650139314,8.5,-82.4333,301.83,69,100,3.26
Nishihara,JP,1650139315,26.1842,127.7558,291.75,59,73,2.57
Hithadhoo,MV,1650139315,-0.6,73.0833,301.58,67,78,2.81
Cairns,AU,1650139084,-16.9167,145.7667,295.12,88,40,5.14
Qaanaaq,GL,1650139316,77.484,-69.3632,250.11,78,74,2.11
São Filipe,CV,1650139316,14.8961,-24.4956,295.04,78,58,6.05
Busselton,AU,1650139317,-33.65,115.3333,286.08,84,21,4.43
Severo-Kuril'sk,RU,1650139317,50.6789,156.125,272.58,81,100,6.39
Meulaboh,ID,1650139317,4.1363,96.1285,299.11,84,30,0.33
Puerto Ayora,EC,1650139318,-0.7393,-90.3518,298.9,80,96,3.47
Rikitea,PF,1650139318,-23.1203,-134.9692,298.76,71,4,6.94
Vaini,TO,1650139319,-21.2,-175.2,300.67,69,92,4.85
Ust-Kuyga,RU,1650139173,70.0167,135.6,248.14,100,99,0.51
Pevek,RU,1650139320,69.7008,170.3133,259.04,93,100,2.18
Luena,AO,1650139320,-11.7833,19.9167,289.81,96,82,1.53
Pitimbu,BR,1650139321,-7.4706,-34.8086,301.16,77,6,3.93
Thompson,CA,1650139321,55.7435,-97.8558,269.53,58,100,1.35
Ambilobe,MG,1650139322,-13.2,49.05,296.19,87,10,1.92
Yellowknife,CA,1650139227,62.456,-114.3525,261.24,55,51,4.47
Ostrovnoy,RU,1650139322,68.0531,39.5131,272.46,86,100,5.97
Mossamedes,AO,1650139323,-15.1961,12.1522,297.05,70,26,1.06
